,lfr,adv,eq
mean,90.42925460642297,77.12217574398998,96.49427332171688
std,2.915809217203577,12.670164892930774,2.053731020441484
min,86.79564735370674,45.93541433486714,93.45172187228727
50%,90.7277565953633,79.32721278832302,96.09589120283937
max,95.28463514454893,95.31423819694744,98.90413474972299
