,lfr,adv,eq
mean,70.51913603637742,59.43539219401289,66.07805987116332
std,0.39982801039141846,7.792757248597861,0.32831004868075686
min,69.98863205759758,53.505115574081096,65.70670708601743
50%,70.59492231906026,55.87343690791967,66.04774535809018
max,71.1254262978401,72.79272451686245,66.65403561955287
