,lfr,adv,eq
mean,70.28503131017035,59.79117537723548,66.53300716894141
std,0.4389406775397511,7.624727595265952,0.3278154323081674
min,69.65681383194823,53.987428745049705,66.15929344091924
50%,70.38180741569387,56.31475957172797,66.50759822623655
max,70.99438707219696,72.78406167890647,67.09353460231307
